colour	x	y	showSelectedlegendcolour	fill
#F564E3	30.7148554656655	31.7327524729073	US	#F564E3
#F564E3	28.259218021296	28.1330180974677	US	#F564E3
#F564E3	26.1186967056245	25.9726249296218	US	#F564E3
#F564E3	36.8318669391796	27.7913431528956	US	#F564E3
#F564E3	29.858263302967	31.7851894922555	US	#F564E3
#00BFC4	30.3682483365759	35.0999938048422	IN	#00BFC4
#F564E3	35.1257635798305	31.3176076127216	US	#F564E3
#F564E3	32.0851948151365	29.3151179105043	US	#F564E3
#00BFC4	34.1133210642263	31.9221507066861	IN	#00BFC4
#F564E3	33.360745639354	30.0113049603999	US	#F564E3
#F564E3	32.6906216045842	25.230886114575	US	#F564E3
#F564E3	32.066536882706	31.8424581937492	US	#F564E3
#F564E3	30.2834881687537	25.796611212939	US	#F564E3
#F564E3	28.3133244456723	31.8037687277421	US	#F564E3
#00BA38	31.9244365997613	28.3291192805395	GB	#00BA38
#F564E3	23.0552876519039	26.3329686937854	US	#F564E3
#F564E3	31.1434023022652	28.2701651468873	US	#F564E3
#F564E3	31.7266620345414	26.8522327082232	US	#F564E3
#B79F00	33.3390881078318	33.0264456499368	CA	#B79F00
#F564E3	34.6011101173237	35.2781251560897	US	#F564E3
#F564E3	36.2764549460262	34.2100852353498	US	#F564E3
#F564E3	29.6293539822102	29.8847607381642	US	#F564E3
#F564E3	28.3035223886371	31.7133930245414	US	#F564E3
#F564E3	22.8134033301845	29.2753602374345	US	#F564E3
#F564E3	30.6622381560504	31.8560171976686	US	#F564E3
#F564E3	33.7849609836936	29.6530219003558	US	#F564E3
#F564E3	22.1926235502586	32.185690966621	US	#F564E3
#00BA38	32.9637699484825	30.1428608186543	GB	#00BA38
#F564E3	31.3894355259836	23.2159911461175	US	#F564E3
#00BA38	33.781126383692	30.6239267908037	GB	#00BA38
#F564E3	28.3059109220281	24.0215772507712	US	#F564E3
#F564E3	31.7033764891326	31.1731601027772	US	#F564E3
#F564E3	33.0619200272486	25.1757696622983	US	#F564E3
#F564E3	26.0621626522392	25.8067520879209	US	#F564E3
#F564E3	34.2176744347438	34.7969304587692	US	#F564E3
