fill	x	y	group	xmin	xmax	ymin	ymax
#152F48	35	30	-1	34.5	35.5	29.5	30.5
#152F48	36	30	-1	35.5	36.5	29.5	30.5
#142D45	37	30	-1	36.5	37.5	29.5	30.5
#132B43	38	30	-1	37.5	38.5	29.5	30.5
#132C44	39	30	-1	38.5	39.5	29.5	30.5
#132C44	41	30	-1	40.5	41.5	29.5	30.5
#132C44	21	31	-1	20.5	21.5	30.5	31.5
#132C44	23	31	-1	22.5	23.5	30.5	31.5
#142D46	25	31	-1	24.5	25.5	30.5	31.5
#142D45	26	31	-1	25.5	26.5	30.5	31.5
#152E47	27	31	-1	26.5	27.5	30.5	31.5
#152E47	28	31	-1	27.5	28.5	30.5	31.5
#16314C	29	31	-1	28.5	29.5	30.5	31.5
#1A3A57	30	31	-1	29.5	30.5	30.5	31.5
#193652	31	31	-1	30.5	31.5	30.5	31.5
#1B3A58	32	31	-1	31.5	32.5	30.5	31.5
#183550	33	31	-1	32.5	33.5	30.5	31.5
#183550	34	31	-1	33.5	34.5	30.5	31.5
#17334E	35	31	-1	34.5	35.5	30.5	31.5
#152F48	36	31	-1	35.5	36.5	30.5	31.5
#142D46	37	31	-1	36.5	37.5	30.5	31.5
#142D45	38	31	-1	37.5	38.5	30.5	31.5
#132C44	39	31	-1	38.5	39.5	30.5	31.5
#132B43	20	32	-1	19.5	20.5	31.5	32.5
#132B43	22	32	-1	21.5	22.5	31.5	32.5
#132B43	23	32	-1	22.5	23.5	31.5	32.5
#132B43	24	32	-1	23.5	24.5	31.5	32.5
#152F48	26	32	-1	25.5	26.5	31.5	32.5
#152F48	27	32	-1	26.5	27.5	31.5	32.5
#193753	28	32	-1	27.5	28.5	31.5	32.5
#17334E	29	32	-1	28.5	29.5	31.5	32.5
#17344F	30	32	-1	29.5	30.5	31.5	32.5
#17324D	31	32	-1	30.5	31.5	31.5	32.5
#193652	32	32	-1	31.5	32.5	31.5	32.5
#183551	33	32	-1	32.5	33.5	31.5	32.5
#17324D	34	32	-1	33.5	34.5	31.5	32.5
#142D46	35	32	-1	34.5	35.5	31.5	32.5
#132C44	36	32	-1	35.5	36.5	31.5	32.5
#142D46	37	32	-1	36.5	37.5	31.5	32.5
#132B43	38	32	-1	37.5	38.5	31.5	32.5
#132C44	39	32	-1	38.5	39.5	31.5	32.5
#132B43	24	33	-1	23.5	24.5	32.5	33.5
#142D45	25	33	-1	24.5	25.5	32.5	33.5
#142D45	26	33	-1	25.5	26.5	32.5	33.5
#142D46	27	33	-1	26.5	27.5	32.5	33.5
#152E47	28	33	-1	27.5	28.5	32.5	33.5
#153049	29	33	-1	28.5	29.5	32.5	33.5
#16314C	30	33	-1	29.5	30.5	32.5	33.5
#183550	31	33	-1	30.5	31.5	32.5	33.5
#16314B	32	33	-1	31.5	32.5	32.5	33.5
#142D46	33	33	-1	32.5	33.5	32.5	33.5
#152E47	34	33	-1	33.5	34.5	32.5	33.5
#142D46	35	33	-1	34.5	35.5	32.5	33.5
#152F48	36	33	-1	35.5	36.5	32.5	33.5
#132B43	37	33	-1	36.5	37.5	32.5	33.5
#132B43	39	33	-1	38.5	39.5	32.5	33.5
#132C44	23	34	-1	22.5	23.5	33.5	34.5
#132B43	24	34	-1	23.5	24.5	33.5	34.5
#142D45	26	34	-1	25.5	26.5	33.5	34.5
#142D45	27	34	-1	26.5	27.5	33.5	34.5
#142D46	28	34	-1	27.5	28.5	33.5	34.5
#142D45	29	34	-1	28.5	29.5	33.5	34.5
#16314C	30	34	-1	29.5	30.5	33.5	34.5
#16314B	31	34	-1	30.5	31.5	33.5	34.5
#152F48	32	34	-1	31.5	32.5	33.5	34.5
#16314B	33	34	-1	32.5	33.5	33.5	34.5
#142D45	34	34	-1	33.5	34.5	33.5	34.5
#142D45	35	34	-1	34.5	35.5	33.5	34.5
#142D46	36	34	-1	35.5	36.5	33.5	34.5
#142D45	37	34	-1	36.5	37.5	33.5	34.5
#132B43	38	34	-1	37.5	38.5	33.5	34.5
#132B43	41	34	-1	40.5	41.5	33.5	34.5
#132B43	23	35	-1	22.5	23.5	34.5	35.5
#132C44	25	35	-1	24.5	25.5	34.5	35.5
#132C44	26	35	-1	25.5	26.5	34.5	35.5
#142D46	28	35	-1	27.5	28.5	34.5	35.5
#142D45	29	35	-1	28.5	29.5	34.5	35.5
#132C44	30	35	-1	29.5	30.5	34.5	35.5
#142D46	31	35	-1	30.5	31.5	34.5	35.5
#142D46	32	35	-1	31.5	32.5	34.5	35.5
#142D46	33	35	-1	32.5	33.5	34.5	35.5
#132C44	35	35	-1	34.5	35.5	34.5	35.5
#132B43	36	35	-1	35.5	36.5	34.5	35.5
#142D45	37	35	-1	36.5	37.5	34.5	35.5
#132C44	38	35	-1	37.5	38.5	34.5	35.5
#132B43	39	35	-1	38.5	39.5	34.5	35.5
#132B43	40	35	-1	39.5	40.5	34.5	35.5
#132B43	20	36	-1	19.5	20.5	35.5	36.5
#132B43	26	36	-1	25.5	26.5	35.5	36.5
#142D46	29	36	-1	28.5	29.5	35.5	36.5
#132C44	30	36	-1	29.5	30.5	35.5	36.5
#152E47	31	36	-1	30.5	31.5	35.5	36.5
#142D46	32	36	-1	31.5	32.5	35.5	36.5
