colour	x	y	showSelectedlegendcolour	fill
#F564E3	31.1095636744052	32.0895029136911	US	#F564E3
#F564E3	28.0138908207417	27.8964942099527	US	#F564E3
#F564E3	25.61924642995	26.0664146790281	US	#F564E3
#F564E3	37.3565987143666	28.2642450742424	US	#F564E3
#F564E3	30.3373604997993	32.0146092472598	US	#F564E3
#00BFC4	30.3888598825783	34.7212815120816	IN	#00BFC4
#F564E3	35.0173055607826	30.8056916356087	US	#F564E3
#F564E3	31.83997711353	29.1154621314257	US	#F564E3
#00BFC4	34.3937031807378	32.2904824007303	IN	#00BFC4
#F564E3	33.0817932138219	29.6656630812213	US	#F564E3
#F564E3	33.3063854247332	24.8395839642733	US	#F564E3
#F564E3	32.2085891004652	31.6234583973885	US	#F564E3
#F564E3	29.6716895977035	26.2562307383865	US	#F564E3
#F564E3	28.0627814365551	31.7278427183628	US	#F564E3
#00BA38	32.3070286637172	28.2516642536968	GB	#00BA38
#F564E3	22.7003212312236	25.60543153584	US	#F564E3
#F564E3	31.1840964445844	28.3556888094172	US	#F564E3
#F564E3	31.6695855127648	26.7626716010273	US	#F564E3
#B79F00	33.3038796206936	33.3236154945567	CA	#B79F00
#F564E3	34.8389477312565	35.235334600322	US	#F564E3
#F564E3	35.8823213402182	33.6547050310299	US	#F564E3
#F564E3	29.7451581386849	30.3910254286602	US	#F564E3
#F564E3	27.6663084428757	31.9509513255209	US	#F564E3
#F564E3	23.2070588598028	29.281065229699	US	#F564E3
#F564E3	30.8026703244075	31.8040292060003	US	#F564E3
#F564E3	34.389208964631	29.8141928656027	US	#F564E3
#F564E3	21.65854947716	32.3080873411149	US	#F564E3
#00BA38	32.8064426470548	29.7130823915824	GB	#00BA38
#F564E3	30.9223899247125	23.0458057122305	US	#F564E3
#00BA38	34.2166742589325	30.6817656779662	GB	#00BA38
#F564E3	28.1123664837331	24.092168956995	US	#F564E3
#F564E3	31.7365825379267	30.9400588229299	US	#F564E3
#F564E3	33.0539715342224	25.0639688214287	US	#F564E3
#F564E3	25.8895893489942	25.6800821807236	US	#F564E3
#F564E3	33.9596786674112	35.0108870018274	US	#F564E3
